"Opportunity Name","New MRR (converted) Currency","New MRR (converted)","Net MRR (converted) Currency","Net MRR (converted)","Net TCV (converted) Currency","Net TCV (converted)","NRR (converted) Currency","NRR (converted)","Country of Origin","Account Name","Sales Type","TransactionTypeList","Opportunity Owner","Created Date","Close Date","Primary Campaign Purpose","Campaign Type","Campaign Name","Country of Origin","Created Date","Start Date","Opportunity Owner: Manager","Reporting Business Unit","Category","Sub-Category","Stage"
"Coop 15 de Septiembre - Servicio Vulnerability","USD","0.00","USD","0.00","","","USD","0.00","Honduras","Cooperativa 15 de Septiembre","New Customer","","Wilfredo Banegas","05-29-2024","07-25-2024","Sales Tracking","Advertisement","LATAM_Hon_Event_Vulnerability Launch TGU_May2024","Honduras","04-03-2024","05-28-2024","Emerson Diaz","LatAmENT","Event","One-to-Few","Prospecting & Qualification"
"Mall Ciudad Casa Blanca Internte, Wifi y Router","USD","640.00","USD","640.00","USD","23040.00","USD","0.00","Honduras","CIUDAD CASA BLANCA SOCIEDAD MERCANTIL DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE","New Customer","New Service","Donal Medina","04-11-2024","04-27-2024","Lead Generation","Advertisement","LATAM_Hon_Event_Giras Regionales Tegucigalpa_Ent_Feb2024","Honduras","02-14-2024","02-15-2024","Laura Alvarado","LatAmENT","Event","One-to-One","Closed Won"
"Enterprises Internet Corp. 10 Megas","USD","80.00","USD","80.00","USD","960.00","USD","0.00","Honduras","ENTERPRISES CAE S.A.","New Customer","New Service","Donal Medina","04-29-2024","04-30-2024","Lead Generation","Advertisement","LATAM_Hon_Event_Giras Regionales Tegucigalpa_Ent_Feb2024","Honduras","02-14-2024","02-15-2024","Laura Alvarado","LatAmENT","Event","One-to-One","Closed Won"
"Waleska Zavala Prendas & Accesorios, Dali","USD","60.00","USD","60.00","USD","720.00","USD","0.00","Honduras","WALESKA YAMILETH, ZAVALA ARTEAGA","New Customer","New Service","Donal Medina","05-27-2024","05-30-2024","Lead Generation","Advertisement","LATAM_Hon_Event_Giras Regionales Tegucigalpa_Ent_Feb2024","Honduras","02-14-2024","02-15-2024","Laura Alvarado","LatAmENT","Event","One-to-One","Closed Won"
"Emisoras M365","USD","912.00","USD","912.00","USD","10944.00","USD","0.00","Honduras","EMISORAS UNIDAS S.A DE C.F","Upsale/Crossale","New Service","Elvin Estrada","03-20-2024","08-13-2024","Sales Tracking","Advertisement","LATAM_Hon_Event_Workshops One-to-One TGU_Ent_Feb2024","Honduras","02-14-2024","02-19-2024","Laura Alvarado","LatAmENT","Event","One-to-One","Solution Design"
"COOP SONAGUERA - Red de Filiales","USD","3108.00","USD","3108.00","USD","119148.00","USD","7260.00","Honduras","COOPERATIVA DE AHORRO Y CREDITO SONAGUERA LIMITADA","New Customer","New Service","Wilfredo Banegas","01-23-2023","05-29-2023","Lead Generation","Email","LATAM_HON_Enterprise_Oferta 1Mes Gratis Conectividad_2023","Honduras","03-06-2023","03-01-2023","Emerson Diaz","LatAmENT","Email","Offer","Closed Lost"
"Credisol - Red de Agencias ( 2022 )","USD","3295.00","USD","3295.00","USD","128542.00","USD","9922.00","Honduras","CREDISOL OPDF - Fondo para el Desarrollo Local de Honduras","New Customer","New Service","Wilfredo Banegas","09-15-2022","06-06-2023","Lead Generation","Email","LATAM_HON_Enterprise_Oferta 1Mes Gratis Conectividad_2023","Honduras","03-06-2023","03-01-2023","Emerson Diaz","LatAmENT","Email","Offer","Closed Lost"
"CACIL - Enlaces 2023","USD","2097.00","USD","2097.00","USD","81542.00","USD","6050.00","Honduras","Cooperativa de Ahorro y Crédito Intibucana CACIL SA DE CV","New Customer","New Service","Wilfredo Banegas","01-18-2023","03-31-2023","Lead Generation","Email","LATAM_HON_Enterprise_Oferta 1Mes Gratis Conectividad_2023","Honduras","03-06-2023","03-01-2023","Emerson Diaz","LatAmENT","Email","Offer","Closed Lost"
"La Patrona Restaurante, Internet","USD","60.00","USD","60.00","USD","720.00","USD","0.00","Honduras","LA PATRONA RESTAURANTE/BAR, S. DE. R.L.","New Customer","New Service","Donal Medina","05-21-2024","05-23-2024","Lead Generation","Advertisement","LATAM_Hon_Event_Giras Regionales Tegucigalpa_Ent_Feb2024","Honduras","02-14-2024","02-15-2024","Laura Alvarado","LatAmENT","Event","One-to-One","Closed Won"
"De Todo Incremento de Capacidades","USD","40.00","USD","40.00","USD","1440.00","USD","0.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","Upgrade","Donal Medina","03-05-2024","03-14-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
