filename,timestamp,"Reporting Business Unit","Country of Origin","Campaign Name",Owner,"Campaign Type",Category,Sub-Category,"Primary Campaign Purpose","Num Sent in Campaign","Responses in Campaign","Created Date","Start Date","Product of Interest","Campaign Status","Budgeted Cost in Campaign (converted) Currency","Budgeted Cost in Campaign (converted)","Expected Revenue in Campaign (converted) Currency","Expected Revenue in Campaign (converted)","Opportunities in Campaign","Value Opportunities in Campaign Currency","Value Opportunities in Campaign","Won Opportunities in Campaign","Value Won Opportunities in Campaign Currency","Value Won Opportunities in Campaign","Actual Cost in Campaign (converted) Currency","Actual Cost in Campaign (converted)",ROI,"Campaign ID","SF Campaign Id"
file3.csv,4/4/24,Networks,Colombia,Networks_COL_SantaMarta_EXpoISP_2023,"Camila Rodriguez",Tradeshow,Event,Physical,"Brand Awareness",0,3,9/11/23,10/26/23,Networking,Completed,USD,4500,USD,15000,5,USD,237308,5,USD,237308,USD,4500,5174%,7014X0000036WTE,7014X0000036WTE
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_MED_ENT_SDWANTour_Nov_2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Sales Tracking",,61,9/18/23,11/2/23,Security,Completed,USD,1500,USD,3000,0,USD,0,0,USD,0,USD,1500,-100%,7014X0000036Wis,7014X0000036Wis
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL__EVENT_DatacenterMeet_MID_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",10,0,4/1/24,4/17/24,"Cloud IT",Planned,USD,1200,,,0,USD,0,0,USD,0,,,,7014X000002exhO,7014X000002exhO
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BOG_EVENT_EliteConnections_APR2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",10,0,4/1/24,5/16/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,6000,,,0,USD,0,0,USD,0,,,,7014X000002exhs,7014X000002exhs
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_CTG_EVENT_BreakfastMeetings_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",50,0,4/1/24,8/8/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,2000,,,0,USD,0,0,USD,0,,,,7014X000002expr,7014X000002expr
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_TELEMARKETING_Palmera_2023,"Camila Rodriguez",Telemarketing,"Call Center",,"Lead Generation",0,10,6/5/23,1/1/23,"Security; It Solution; Networking; UC&C","In Progress",,,,,10,USD,19531,0,USD,0,,,,7014X000002eerC,7014X000002eerC
file3.csv,4/4/24,Networks,Colombia,NETWORKS_Event_AndinaLink_Mar2023,"Camila Rodriguez",Tradeshow,Event,,"Lead Generation",3374,4,1/30/23,3/7/23,Networking,Completed,USD,16000,USD,40000,12,USD,3406632,10,USD,3456632,USD,16000,21504%,7014X000001ylal,7014X000001ylal
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BOG_AUnaTorreDeDistancia_Ent_Mar2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Lead Generation",30,0,2/6/23,3/1/23,"Security; It Solution",Completed,USD,500,USD,1000,3,USD,10652,1,USD,1251,USD,455,175%,7014X000001ym7Q,7014X000001ym7Q
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL_MED_OnetoFewMed_Mid_Mar2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Sales Tracking",50,0,2/6/23,3/2/23,"Security; Networking",Completed,USD,2200,USD,3000,25,USD,433227,11,USD,82856,USD,2143,3766%,7014X000001ym7G,7014X000001ym7G
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_Prod_EMISProspecting_Ent_Feb2023,"Camila Rodriguez",Email,Email,"Offer Email",Other,3369,0,2/20/23,2/20/23,Networking,Completed,USD,200,USD,2000,0,USD,0,0,USD,0,USD,200,-100%,7014X000001ynS7,7014X000001ynS7
